#OK
#SQL= SELECT              
#	         gal.GalaxyID          as id,    
#	         gal.HalfMassRad_Star  as half_mass_r,    
#	         gal.MassType_Star     as mass,    
#	         gal.StarFormationRate as sfr,  
#	         gal.SubGroupNumber    as subgroup_number  
#	     FROM       
#	         RefL0100N1504_SubHalo as gal      
#	     WHERE        
#	         gal.Snapnum = 27
#	     AND
#	         gal.StarFormationRate > 0
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 23 millisec
#COLUMN 1 name=id JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=half_mass_r JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=mass JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=sfr JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=subgroup_number JDBC_TYPE=4 JDBC_TYPENAME=int
id,half_mass_r,mass,sfr,subgroup_number
190947,3.3975224,1.070134E8,0.0132835265,0
191713,4.2204256,7.6174039E9,0.28707063,2
192376,5.0338993,9.5837911E9,1.0005332,3
193657,3.2366183,1.93916173E9,0.009474717,6
194064,4.252046,5.7586207E9,0.2084116,9
194745,3.5949154,9.6645805E8,0.085965864,14
194876,3.176261,3.11738688E8,0.034118295,8
195014,2.7243686,1.49045648E8,0.0045636604,11
195171,4.092221,6.496684E9,0.7228319,5
195528,4.191026,2.20570214E9,0.30101877,12
195753,3.6814442,1.25577958E9,0.05106413,13
197364,28.649126,2.26966946E11,1.513487,0
210543,3.3592935,1.48389338E9,0.0060025933,0
210844,3.9074743,1.17110006E10,0.4148362,5
211546,3.431079,8.0873587E8,0.066952206,0
211867,3.2492132,5.9399174E8,0.008174891,0
212420,3.8829412,1.46354496E9,0.034431193,0
212618,2.393427,4.6856032E8,0.06225292,4
212983,4.03277,1.50208461E9,0.10347376,7
215850,4.6343784,2.07346534E9,0.00440994,0
216114,2.5482106,1.95185728E8,0.07127209,0
216281,5.066705,4.877441E9,0.45947033,3
217417,6.324989,7.1689042E9,0.6759208,9
217857,1.0320197,9570403.0,0.032071874,931
218341,2.8544765,1.61085645E9,0.049847297,11
219085,5.577524,2.34721485E9,0.26516598,12
219770,4.3288326,1.37441203E9,0.09333605,17
222320,4.4325175,1.34374769E10,0.35092425,4
222927,3.6894932,1.42514678E10,0.59687984,5
223470,2.3955755,1.51810273E10,0.07347243,3
224092,3.0651345,2.27867341E9,0.08122748,0
224939,2.7190962,7.9849037E9,0.19125631,6
225335,4.389867,5.7681997E9,0.08911347,8
225681,2.516666,3.4199408E8,0.032100517,10
226054,5.097072,1.70687616E9,0.0011848646,9
226411,2.5661309,1.74705296E8,0.025358524,13
226550,4.531644,5.8585459E8,0.032899704,12
226805,3.1161377,3.58222848E8,0.0304399,11
227167,2.4003656,4.40301152E8,0.018699253,0
228360,4.2762327,5.24073568E8,0.013002095,4
228583,3.531477,9.985456E8,0.046754573,0
228975,3.5311954,4.4610662E9,0.12293006,5
229878,2.9729903,4.564607E9,0.09327937,5
230274,2.836274,4.20739232E8,0.03690874,0
230491,1.0668595,4.231414E7,0.059547096,3
230601,2.3995407,5.8122803E8,0.1037122,6
231942,2.4258368,1.12980787E9,0.05405317,2
232723,2.920383,4.45801888E8,0.038843296,7
324163,5.242259,3.4922596E7,0.0023315344,0
324348,2.8036401,2.8291806E7,0.0014850352,0
324554,3.2450686,2.6429418E7,0.003099199,0
324698,2.0540135,6.3798564E7,0.010497018,0
324779,4.324986,3.3930416E7,0.0052729505,0
325012,3.483936,3.38533E7,0.012632389,0
325359,2.5619285,3.8034756E7,0.00267898,0
325980,2.2305508,2.673318E7,0.0062183132,0
326486,2.6833234,1.8368888E8,0.0016267723,0
326543,4.4982667,1.2461541E7,0.0029798085,0
326618,3.3935292,1.9463732E7,7.2077E-4,0
327384,2.7122827,6.257086E7,0.008072948,0
327555,2.931844,3.2144964E7,0.002317469,0
327759,4.395665,3.1285456E7,0.0015857836,0
328028,4.34703,3.0514476E7,0.004645145,0
328128,3.2082472,8.4086328E7,0.00559341,0
328219,3.2124805,4.6584528E7,0.008423951,0
329020,2.2886164,9.3419648E7,0.0052320953,0
330069,3.3691404,5.5290552E7,0.005089745,0
330897,3.2362247,3.7582792E7,0.005363044,0
331344,2.931276,5.976378E7,7.8836264E-4,0
331417,2.5263824,5.1082992E7,0.005814079,0
331483,3.59292,9.2030616E7,0.0038255334,0
331664,2.397946,4.1320328E7,0.017077392,0
332172,2.6750057,6.0128648E7,0.0083287,1
332411,3.1249526,4159315.8,0.0013786549,0
332693,2.360161,7.2382808E7,0.0056931744,0
333025,2.751517,3.0733692E7,0.0077187195,0
333374,2.395475,3.4683336E7,0.0025387632,0
333461,5.447603,2.2688576E7,0.0030370422,0
333654,3.946061,2.1738236E7,0.002957099,1
333723,2.4722528,7.3583976E7,0.009294165,0
333884,2.8170934,7.8764424E7,0.006587408,0
333957,1.9173377,1.1795316E8,0.021418685,0
334045,3.532766,3.3505328E7,0.019158015,0
334209,3.1061385,3.5579064E7,0.010739135,0
334412,4.0763054,2.4518692E7,7.069842E-4,0
334609,2.8196986,4.5328336E7,0.015223563,0
334949,1.9591451,2.5162574E7,0.024921332,0
335870,3.632427,5.1686816E8,0.07295634,0
336112,2.7229655,2.8558324E7,0.004349189,0
336482,2.8321738,3.78118E7,0.011187748,0
336610,3.5989423,5.3038628E7,0.00671399,0
336768,3.5979424,2.8545216E7,0.010869345,0
337015,2.133502,6.4741004E7,0.017125942,0
337183,3.6400473,1.11509288E8,0.0050401352,0
337355,3.934083,2.2420466E7,0.006838198,0
337548,0.0,0.0,0.0046349224,1
337725,3.8823528,7.1338128E7,0.0020717152,0
337918,3.248317,6.1808712E7,0.0056865136,1
338053,2.6200852,4.4694776E7,0.0014889596,0
338135,6.0579476,3.201523E7,0.0030023693,0
338198,3.0052319,3.3419088E7,0.006110055,0
338237,4.6549964,3.9702424E7,0.013937531,0
338557,3.2313898,4.0417872E7,0.00885798,0
338720,4.7753,3.6114856E7,0.015037333,0
338797,3.35794,7.3955048E7,0.015975872,0
338931,3.3839984,1.5826961E7,0.009874601,0
339029,1.889932,3.514642E7,0.0062005473,0
339316,3.082893,4.3226268E7,0.008249334,0
339735,1.9471711,2.920717E7,0.0046857703,0
340041,2.7311652,8.8851408E7,0.01815674,0
340301,3.8532567,4.8135988E7,0.0015248731,0
340364,3.3568795,4.360462E7,0.0076872483,0
340873,2.9829392,1.16963352E8,0.00833396,0
341054,1.9922885,3.5813044E7,0.010717321,0
341307,4.058488,1.7545862E7,0.0015951494,0
341420,1.8884804,3.0936582E7,0.003526973,0
341515,4.4095016,6.0312688E7,0.010567858,0
342249,3.8220897,5.0799268E7,0.011588757,0
342689,3.668761,3.6329772E7,0.0049142945,0
342883,1.9936689,2.4629966E7,0.0028652258,0
343157,2.5687902,5.9330116E7,0.006108752,0
343433,2.6275787,3.11256E7,0.007175733,0
343751,3.1867485,5.0698432E7,0.008500604,0
343808,0.4874487,9412782.0,0.0030408758,1
343871,1.9566184,1.7425874E7,0.006053376,0
344080,1.811937,3.8478296E7,0.002529305,0
344516,2.1595259,2.7415104E8,0.018439727,0
344702,3.2570324,3.296997E7,0.010980241,0
344837,4.4596443,2.7780716E7,0.0017627142,0
345658,5.178767,4.125626E7,7.564431E-4,0
345860,2.538904,1.25395096E8,0.0072912555,0
346257,3.0341542,1.430028E8,0.01152901,0
346424,3.1920662,4.4363652E7,6.696883E-4,0
346980,2.4293063,3.0540416E7,0.0060973684,0
347034,2.2989337,2.4219826E7,0.0030560244,0
347429,2.9013522,3.3763684E7,0.010677729,0
347609,3.1895604,1.02491064E8,0.008321988,0
347973,1.0693758,9437326.0,0.0014389186,0
348081,3.9759977,5.5855708E7,0.019876637,0
348190,2.9960697,4.4452692E7,0.001359838,0
348676,0.95754534,2.607548E7,0.011509367,0
348736,3.5276213,3.2718434E7,0.0058875103,0
349099,4.0896363,1.9922578E7,0.002671136,0
349658,5.5602465,6.2261328E7,8.1564963E-4,0
349741,3.092855,4.5479404E7,0.0043313354,0
349812,1.6975061,3.6112944E7,0.037467603,0
350219,2.9863312,6.0545552E7,0.021897992,0
350674,2.4175277,1.0271856E7,0.007550573,0
350818,2.9243674,3.0513296E7,0.004590439,1
351149,3.587493,2.0930898E7,0.0036250872,0
351206,2.309024,6.0188076E7,0.005561454,0
351318,2.0653973,5.1942396E7,0.03240411,0
352769,2.7170022,3.8955904E7,0.0112996455,0
352841,2.8255801,3.7910676E7,0.013221813,0
352896,1.6691686,3.7879168E7,0.0034285581,0
352984,5.1834493,7.7697056E7,0.003423442,0
353141,3.6609054,5.9481884E7,0.0029218632,0
353559,2.2421806,2.1546272E7,0.0015230088,0
354294,1.4123476,2.87659E7,0.041065745,0
354602,4.6401253,3.5924724E7,0.008584727,0
354792,2.4340322,9.504444E7,0.016781058,0
355661,3.7783356,1.9660694E7,7.3143945E-4,0
355774,2.740676,6.9263584E7,0.0061559677,0
355923,2.8987005,7.3576168E7,0.002998731,0
356084,3.953667,1.6432743E7,0.0037397642,0
356405,1.9006745,2.445102E7,0.011560302,0
357018,3.0533724,6.5088316E7,0.0013550837,0
357582,2.110997,8.1258696E7,0.011664832,0
357747,4.1168294,4.86609E7,7.199999E-4,0
357829,2.5328696,6.3018088E7,0.0014969747,0
357888,0.90126103,1.3396509E7,7.447724E-4,0
358202,3.2172418,6.4788308E7,0.0072750505,0
358295,3.5466626,4.1554448E7,7.041037E-4,0
358387,3.3275573,9143535.0,0.0015526848,1
358571,3.6110985,3.2056836E7,0.018010892,0
359325,3.1888154,3.9884232E7,0.0054445276,0
359396,2.8877554,3.8429988E7,0.01859864,0
359516,3.8568933,2.7375472E7,0.0041545564,0
359781,3.0551403,1.20917248E8,0.011773821,0
359866,3.3158574,5.395846E7,0.007630457,0
359972,2.4697115,6.6600116E7,0.009956677,0
