2,0.0,1.21672827E11,0.0,7.3412665E10,2.4529338,286.689,3.184589,0.0,7.339996E10,-18.90722,-20.58092,-21.373377
13632,0.0,1.36894054E11,0.0,7.2376558E10,2.9056845,266.06326,2.8907926,0.0,7.2288838E10,-18.893574,-20.596214,-21.397463
21794,0.0,1.02476636E11,0.0,4.2687422E10,3.8051593,203.1914,5.2909636,0.0,4.2610799E10,-18.428726,-20.101946,-20.891933
24478,0.0,9.5195652E10,0.0,2.53260964E10,5.0263286,165.86546,9.775996,0.0,2.53186314E10,-18.011415,-19.609924,-20.364689
26264,0.0,6.3841882E10,0.0,3.6627849E10,1.3113012,258.74493,1.5291005,0.0,3.6624663E10,-17.882116,-19.654703,-20.494904
29818,0.11599374,1.52473977E11,5.6091014E8,2.55980257E10,4.2883463,160.61453,6.0791507,0.11599374,2.44120207E10,-18.382158,-19.91179,-20.644505
30903,0.0,2.83463746E11,0.0,2.11338158E10,5.4902105,185.26085,10.208467,0.0,2.0266199E10,-17.95146,-19.484425,-20.209341
32367,0.26743457,1.46152817E11,5.6513984E8,2.03856732E10,3.4687521,157.31189,4.127073,0.26743457,1.95825644E10,-18.55389,-19.911715,-20.56395
33116,0.0,1.14643927E11,0.0,1.3611606E10,5.1378937,149.4465,7.4790297,0.0,1.35519816E10,-17.560324,-19.146109,-19.874939
35658,0.0,1.13315709E11,0.0,2.42159084E10,5.580549,163.4067,6.314454,0.0,2.34837463E10,-17.921192,-19.572487,-20.349825
36469,0.0,1.34315164E11,0.0,1.13326879E10,2.840115,142.30571,5.2370605,0.0,1.11826985E10,-17.187803,-18.804523,-19.568544
37177,0.0,7.8297194E10,0.0,2.29717852E10,3.9850702,171.78746,5.860819,0.0,2.29674762E10,-17.778784,-19.44359,-20.23058
37879,0.0,5.7423757E10,0.0,1.97066506E10,2.2901502,175.57846,3.1790736,0.0,1.9705598E10,-17.497007,-19.188559,-19.986584
38952,0.0,4.1911685E10,0.0,1.85034691E10,3.6066277,156.8483,5.7322288,0.0,1.85034691E10,-17.571915,-19.195171,-19.960503
40905,0.0,9.2122325E10,0.0,1.31293245E10,5.1216455,126.1517,8.691838,0.0,1.28358246E10,-17.514826,-19.104641,-19.848288
42234,0.7066836,2.44984119E11,1.80551232E9,2.12111053E10,3.5154693,167.10999,3.8800106,0.6921341,2.07803146E10,-18.87626,-20.047596,-20.632069
43262,0.0,3.798519E10,0.0,2.19913277E10,1.8393344,196.63455,2.4178107,0.0,2.19913277E10,-17.51376,-19.235567,-20.04978
44049,0.0,6.123391E10,0.0,1.58633462E10,5.2102656,130.39897,7.8050294,0.0,1.52884613E10,-17.448273,-19.070366,-19.837255
